"No.","Time","Source","Destination","Protocol","Length","Info"
"3029","33.949717","1.6.3","host","USBCOM","55","URB_BULK in"
"3033","33.953802","1.6.3","host","USBCOM","52","URB_BULK in"
"3037","34.146997","host","1.6.4","USBCOM","28","URB_BULK out"
"3039","34.150461","1.6.3","host","USBCOM","61","URB_BULK in"
"3043","34.154434","1.6.3","host","USBCOM","46","URB_BULK in"
"3047","34.348916","host","1.6.4","USBCOM","28","URB_BULK out"
"3049","34.351062","1.6.3","host","USBCOM","47","URB_BULK in"
"3053","34.355215","1.6.3","host","USBCOM","60","URB_BULK in"
"3057","34.563758","host","1.6.4","USBCOM","28","URB_BULK out"
"3059","34.568292","1.6.3","host","USBCOM","73","URB_BULK in"
"3063","34.572165","1.6.3","host","USBCOM","34","URB_BULK in"
"3067","34.764079","host","1.6.4","USBCOM","28","URB_BULK out"
"3069","34.764608","1.6.3","host","USBCOM","29","URB_BULK in"
